category,ticker,name
電子零組件,3037.TW,欣興
光電業,3038.TW,全台
其他類,3040.TW,遠見
半導體業,3041.TW,揚智
電子零組件,3042.TW,晶技
其他電子,3043.TW,科風
電子零組件,3044.TW,健鼎
通信網路,3045.TW,台灣大
電腦及週邊,3046.TW,建碁
通信網路,3047.TW,訊舟
電子通路,3048.TW,益登
光電業,3049.TW,精金
光電業,3050.TW,鈺德
光電業,3051.TW,力特
建材營造,3052.TW,夆典
食品工業,3054.TW,立萬利
電子通路,3055.TW,蔚華科
建材營造,3056.TW,富華新
電腦及週邊,3057.TW,喬鼎
電子零組件,3058.TW,立德
光電業,3059.TW,華晶科
電腦及週邊,3060.TW,銘異
通信網路,3062.TW,建漢
電子零組件,3090.TW,日電貿
電子零組件,3092.TW,鴻碩
半導體業,3094.TW,聯傑
未分類 (36),3130.TW,一零四
半導體業,3135.TW,凌航
通信網路,3138.TW,耀登
光電業,3149.TW,正達
半導體業,3150.TW,鈺寶-創
生技醫療,3164.TW,景岳
電機機械,3167.TW,大量
光電業,3168.TW,眾福科
半導體業,3189.TW,景碩
電子通路,3209.TW,全科
電子零組件,3229.TW,晟鈦
電腦及週邊,3231.TW,緯創
半導體業,3257.TW,虹冠電
建材營造,3266.TW,昇陽
電子零組件,3296.TW,勝德
其他電子,3305.TW,昇貿
電子零組件,3308.TW,聯德
通信網路,3311.TW,閎暉
電子通路,3312.TW,弘憶股
電子零組件,3321.TW,同泰
電子零組件,3338.TW,泰碩
汽車工業,3346.TW,麗清
光電業,3356.TW,奇偶
電子零組件,3376.TW,新日興
通信網路,3380.TW,明泰
光電業,3406.TW,玉晶光
半導體業,3413.TW,京鼎
電腦及週邊,3416.TW,融程電
通信網路,3419.TW,譁裕
電子零組件,3432.TW,台端
光電業,3437.TW,榮創
半導體業,3443.TW,創意
通信網路,3447.TW,展達
半導體業,3450.TW,聯鈞
光電業,3481.TW,群創
電腦及週邊,3494.TW,誠研
電子零組件,3501.TW,維熹
光電業,3504.TW,揚明光
電腦及週邊,3515.TW,華擎
其他電子,3518.TW,柏騰
電子通路,3528.TW,安馳
半導體業,3530.TW,晶相光
半導體業,3532.TW,台勝科
電子零組件,3533.TW,嘉澤
光電業,3535.TW,晶彩科
光電業,3543.TW,州巧
半導體業,3545.TW,敦泰
電子零組件,3550.TW,聯穎
未分類 (38),3557.TW,嘉威
光電業,3563.TW,牧德
光電業,3576.TW,聯合再生
半導體業,3583.TW,辛耘
半導體業,3588.TW,通嘉
光電業,3591.TW,艾笛森
半導體業,3592.TW,瑞鼎
電子零組件,3593.TW,力銘
通信網路,3596.TW,智易
電子零組件,3605.TW,宏致
電子零組件,3607.TW,谷崧
其他電子,3617.TW,碩天
光電業,3622.TW,洋華
電子零組件,3645.TW,達邁
電腦及週邊,3652.TW,精聯
電子零組件,3653.TW,健策
半導體業,3661.TW,世芯-KY
其他電子,3665.TW,貿聯-KY
通信網路,3669.TW,圓展
光電業,3673.TW,TPK-KY
電子零組件,3679.TW,新至陞
半導體業,3686.TW,達能
通信網路,3694.TW,海華
電腦及週邊,3701.TW,大眾控
電子通路,3702.TW,大聯大
建材營造,3703.TW,欣陸
通信網路,3704.TW,合勤控
生技醫療,3705.TW,永信
電腦及週邊,3706.TW,神達
未分類 (35),3708.TW,上緯投控
半導體業,3711.TW,日月光投控
電腦及週邊,3712.TW,永崴投控
光電業,3714.TW,富采
電子零組件,3715.TW,定穎投控
生技醫療,3716.TW,中化控股
汽車工業,3717.TW,聯嘉投控
生技醫療,4104.TW,佳醫
生技醫療,4106.TW,雃博
生技醫療,4108.TW,懷特
生技醫療,4119.TW,旭富
生技醫療,4133.TW,亞諾法
生技醫療,4137.TW,麗豐-KY
生技醫療,4142.TW,國光生
生技醫療,4148.TW,全宇生技-KY
生技醫療,4155.TW,訊映
生技醫療,4164.TW,承業醫
生技醫療,4169.TW,泰宗
生技醫療,4190.TW,佐登-KY
塑膠工業,4306.TW,炎洲
紡織纖維,4414.TW,如興
紡織纖維,4426.TW,利勤
紡織纖維,4438.TW,廣越
紡織纖維,4439.TW,冠星-KY
紡織纖維,4440.TW,宜新實業
紡織纖維,4441.TW,振大環球
電機機械,4526.TW,東台
電機機械,4532.TW,瑞智
未分類 (37),4536.TW,拓凱
電機機械,4540.TW,全球傳動
電子零組件,4545.TW,銘鈺
汽車工業,4551.TW,智伸科
電機機械,4552.TW,力達-KY
電機機械,4555.TW,氣立
汽車工業,4557.TW,永新-KY
電機機械,4560.TW,強信-KY
電機機械,4562.TW,穎漢
電機機械,4564.TW,元翎
電機機械,4566.TW,時碩工業
汽車工業,4569.TW,六方科-KY
電機機械,4571.TW,鈞興-KY
電機機械,4572.TW,駐龍
電機機械,4576.TW,大銀微系統
汽車工業,4581.TW,光隆精密-KY
電機機械,4583.TW,台灣精銳
其他電子,4585.TW,達明
其他電子,4588.TW,玖鼎電力
電機機械,4590.TW,富田-創
化學工業,4720.TW,德淵
化學工業,4722.TW,國精化
生技醫療,4736.TW,泰博
生技醫療,4737.TW,華廣
化學工業,4739.TW,康普
生技醫療,4746.TW,台耀
化學工業,4755.TW,三福化
化學工業,4763.TW,材料*-KY
化學工業,4764.TW,雙鍵
化學工業,4766.TW,南寶
化學工業,4770.TW,上品
生技醫療,4771.TW,望隼
貿易百貨,4807.TW,日成-KY
通信網路,4904.TW,遠傳
通信網路,4906.TW,正文
電子零組件,4912.TW,聯德控股-KY
電子零組件,4915.TW,致伸
電腦及週邊,4916.TW,事欣科
半導體業,4919.TW,新唐
電子零組件,4927.TW,泰鼎-KY
電器電纜,4930.TW,燦星網
光電業,4934.TW,太極
光電業,4935.TW,茂林-KY
電腦及週邊,4938.TW,和碩
光電業,4942.TW,嘉彰
電子零組件,4943.TW,康控-KY
光電業,4949.TW,有成精密
半導體業,4952.TW,凌通
光電業,4956.TW,光鋐
電子零組件,4958.TW,臻鼎-KY
光電業,4960.TW,誠美材
半導體業,4961.TW,天鈺
半導體業,4967.TW,十銓
半導體業,4968.TW,立積
光電業,4976.TW,佳凌
通信網路,4977.TW,眾達-KY
電子零組件,4989.TW,榮科
資訊服務,4994.TW,傳奇
電子零組件,4999.TW,鑫禾
鋼鐵工業,5007.TW,三星
資訊服務,5203.TW,訊連
電腦及週邊,5215.TW,科嘉-KY
半導體業,5222.TW,全訊
其他電子,5225.TW,東科-KY
光電業,5234.TW,達興材料
光電業,5243.TW,乙盛-KY
光電業,5244.TW,弘凱
電腦及週邊,5258.TW,虹堡
半導體業,5269.TW,祥碩
電器電纜,5283.TW,禾聯碩
其他類,5284.TW,jpp-KY
半導體業,5285.TW,界霖
電機機械,5288.TW,豐祥-KY
未分類 (35),5292.TW,華懋
未分類 (37),5306.TW,桂盟
通信網路,5388.TW,中磊
電子通路,5434.TW,崇越
電子零組件,5469.TW,瀚宇博
半導體業,5471.TW,松翰
光電業,5484.TW,慧友
建材營造,5515.TW,建國
建材營造,5519.TW,隆大
建材營造,5521.TW,工信
建材營造,5522.TW,遠雄
建材營造,5525.TW,順天
建材營造,5531.TW,鄉林
建材營造,5533.TW,皇鼎
建材營造,5534.TW,長虹
鋼鐵工業,5538.TW,東明-KY
建材營造,5546.TW,永固-KY
航運業,5607.TW,遠雄港
航運業,5608.TW,四維航
觀光餐旅,5706.TW,鳳凰
其他類,5871.TW,中租-KY
金融保險,5876.TW,上海商銀
金融保險,5880.TW,合庫金
貿易百貨,5906.TW,台南-KY
貿易百貨,5907.TW,大洋-KY
金融保險,6005.TW,群益證
金融保險,6024.TW,群益期
電子零組件,6108.TW,競國
資訊服務,6112.TW,邁達特
電子零組件,6115.TW,鎰勝
光電業,6116.TW,彩晶
電腦及週邊,6117.TW,迎廣
光電業,6120.TW,達運
電腦及週邊,6128.TW,上福
電子零組件,6133.TW,金橋
通信網路,6136.TW,富爾特
其他電子,6139.TW,亞翔
電子零組件,6141.TW,柏承
通信網路,6142.TW,友勁
通信網路,6152.TW,百一
電子零組件,6153.TW,嘉聯益
電子零組件,6155.TW,鈞寶
光電業,6164.TW,華興
未分類 (36),6165.TW,浪凡
電腦及週邊,6166.TW,凌華
光電業,6168.TW,宏齊
光電業,6176.TW,瑞儀
建材營造,6177.TW,達麗
資訊服務,6183.TW,關貿
其他類,6184.TW,大豐電
電子通路,6189.TW,豐藝
電子零組件,6191.TW,精成科
其他電子,6192.TW,巨路
其他電子,6196.TW,帆宣
電子零組件,6197.TW,佳必琪
其他電子,6201.TW,亞弘電
半導體業,6202.TW,盛群
電子零組件,6205.TW,詮欣
電腦及週邊,6206.TW,飛捷
光電業,6209.TW,今國光
電子零組件,6213.TW,聯茂
資訊服務,6214.TW,精誠
其他電子,6215.TW,和椿
通信網路,6216.TW,居易
電子零組件,6224.TW,聚鼎
光電業,6225.TW,天瀚
光電業,6226.TW,光鼎
電腦及週邊,6230.TW,尼得科超眾
電腦及週邊,6235.TW,華孚
半導體業,6239.TW,力成
半導體業,6243.TW,迅杰
半導體業,6257.TW,矽格
電子零組件,6269.TW,台郡
半導體業,6271.TW,同欣電
電子零組件,6272.TW,驊陞
電腦及週邊,6277.TW,宏正
光電業,6278.TW,台表科
電子通路,6281.TW,全國電
電子零組件,6282.TW,康舒
其他電子,6283.TW,淳安
通信網路,6285.TW,啟碁
光電業,6405.TW,悅城
其他電子,6409.TW,旭隼
電子零組件,6412.TW,群電
電腦及週邊,6414.TW,樺漢
半導體業,6415.TW,矽力*-KY
通信網路,6416.TW,瑞祺電通
通信網路,6426.TW,統新
生技醫療,6431.TW,光麗-KY
其他電子,6438.TW,迅得
通信網路,6442.TW,光聖
光電業,6443.TW,元晶
生技醫療,6446.TW,藥華藥
電子零組件,6449.TW,鈺邦
半導體業,6451.TW,訊芯-KY
光電業,6456.TW,GIS-KY
其他類,6464.TW,台數科
生技醫療,6472.TW,保瑞
光電業,6477.TW,安集
生技醫療,6491.TW,晶碩
其他類,6504.TW,南六
油電燃氣,6505.TW,台塑化
半導體業,6515.TW,穎崴
半導體業,6525.TW,捷敏-KY
半導體業,6526.TW,達發
半導體業,6531.TW,愛普*
半導體業,6533.TW,晶心科
生技醫療,6534.TW,正瀚-創
生技醫療,6541.TW,泰福-KY
